tconst;titleType;germanTitle;primaryTitle;originalTitle;startYear;endYear;runtimeMinutes;genres;IMDBRating;rating;critic;date;tags
tt8115300;movie;Catwalk: Tales from the Cat Show Circuit;Catwalk: Tales from the Cat Show Circuit;Catwalk: Tales from the Cat Show Circuit;2018;\N;75;Documentary;6.3;6.0;"[""Als wir die Doku Catwalk bei Netflix reingehauen haben, haben wir erwartet ein paar süße Kätzchen zu sehen, aber was wir dabei bekommen haben, war so viel mehr.\n"", ""Eifersucht, Drama, Menschliche Schicksale, und natürlich eine menge Katzen. Der Konkurenz kampf zwischen Kim und Shirley ist einfach herrlich anzusehen. Und wie oft all den Leuten ihr Gesicht entgleitet wenn plötzlich noch ein anderer Konkurent die Bühne betritt. Einfach herrlich! Und dazu all diese sonderbaren Personen die sich auf solchen Veranstaltungen treffen und endlich sich selbst sein können. Mein Liebling ist glaub ich King Klaus, ein grau haariger Mann mit Krone und halber Rüstung, welcher sich scheinbar köstlich amüsiert.\n"", ""Die Doku ist dazu auch allerliebst gefilmt und vor allem hat man gemerkt das der Editor richtig viel spaß dabei hatte, alles zusammen zu schneiden.\n"", ""Eine überraschend spaßige Doku.""]";2019-01-02 10:12:00;
tt9412098;movie;Fyre: The Greatest Party That Never Happened;Fyre;Fyre;2019;\N;97;Crime,Documentary,Music;7.2;6.0;"[""Ich glaub es gibt wenige Sachen die man mehr genießen kann als eh schon viel zu priviligierte Leute zuzusehen wie sie auf die Nase fallen. Ob es nun Billy ist oder all die Leute die er dabei gekonnt um ihr Geld betrogen hat, fällt es einem schwer wirklich viel Mitleid zu zeigen.\n"", ""Tragischer wird es dann wenn es um all die anderen Leute herum geht, die Inselbewohner die Tag ein Tag aus an diesen wahnsinns Projekt mitgearbeitet haben, welche dann dabei einfach leer ausgingen. All die Leute die wirklich an Billy geglaubt haben und alles versucht haben dass das Festival doch noch ein Erfolg wird.\n"", ""Insofern hat sich die Dokumentation wirklich geschickt angestellt. Angefangen mit der Idee und der wirklich cleveren Verkaufsstrategie des Festivals. Weitergeführt mit dem Chaos und zusammenbruch den man mit Schadenfreude betrachten kann und endend mit einem nüchternen Blick zurück auf all die Leute die wirklich darunter gelitten haben.\n"", ""Eine durchaus gelungene Dokumentation. ""]";2019-01-02 10:18:00;
tt0120762;movie;Mulan;Mulan;Mulan;1998;\N;87;Adventure,Animation,Comedy;7.7;6.0;"[""Als Kind mochte ich den Film sehr, leider hat sich das nicht über die Jahre gehalten. Die Sachen die damals mochte sind immer noch gut. Die Musik, die Geschichte, der Bösewicht und die zum Teil sehr beeindruckenden Visuals wie die Schlacht im Schnee.\n"", ""Leider ist die Erzählweise nicht so gut gealtert. Manchmal werden die Szenen in die länge gezogen und man wartet genervt bis endlich mal wieder was interessantes passiert. Auch ist der Artstyle nicht immer so gut und die Animationen sind manchmal auch ein wenig hakelig.\n"", ""Nicht der beste Disney Film und auch leider nicht sehr gut gealtert aber immer noch sehenswert. Wenn man aber seine gute Erinnerungen behalten möchte, ist es empfehlenswert einfach darin weiterhin zu schwelgen, anstatt den Film nochmal komplett anzuschauen.""]";2019-01-04 23:07:00;
tt0076578;movie;Pumping Iron;Pumping Iron;Pumping Iron;1977;\N;86;Documentary,Sport;7.3;7.0;"[""Die Dokumentation ist faszinierend aus drei Gründen:\n"", ""1. Man sieht heutzutage selten eine Dokumentation aus den 70ern (außerhalb von Schulen, welche ihre Medien seit zig Jahren nicht mehr geupdated haben).\n"", ""2. Ich habe eigentlich kein interesse an Bodybuilding, aber der Film hat es dennoch geschafft es interessant und irgendwie faszinierend darzustellen\n"", ""3. Arnold Schwarzenegger in all seiner Glorie, wie er auch nicht davor zurück schreckt sich seine Hände schmutzig zu machen\n"", ""Alles in allen war es echt super spaßig zuzusehen. Die Musik, die Kameraarbeit, die Menschen, die Frisen, alles bildet ein wunderbares abbild der 70er Jahre. Auf jeden Fall empfehlenswert wenn man eine der drei Punkte interesse hat.""]";2019-01-04 23:12:00;
tt1028528;movie;Death Proof - Todsicher;Death Proof;Death Proof;2007;\N;127;Action,Thriller;7.0;4.0;"[""Ich muss einfach sagen, das ich gar kein Fan des Grindhouse Genres bin. Ich mag die seichtheit der Charaktäre nicht, ich hasse die Cinematography und obwohl damals der Film oft zerkratzt war oder sie kein Geld mehr für Farbfilm hatten und dann für kurze Zeit zu schwarz-weiß wechseln mussten, macht es diesen Film nicht authentischer sonder in meinen Augen noch faker als er eh schon ist.\n"", ""Dazu die Geschichte, mit der ich nicht so viel anfangen kann, mit klassischen Tarantino Dialogen um nichts die in diesen zwei Stunden Film echt den Bogen für mich überspannt. Gerade die erste hälfte fand ich einfach nur furchtbar und nervig. Die erste hälfte der zweiten hälfte ging nicht viel besser weiter. Einzig allein die Verfolgungsjagd hat mir richtig viel Spaß gemacht. Auch wenn ich nicht verstehe warum Tarantino plötzlich die kratz Ästhetik komplett aus dem Fenster wirft und das Bild einfach nur Klar ist. Die Cinematography ist auch viel besser. Es ist einfach kein Runder Film.\n"", ""Narrativ störe ich mich auch extrem daran das die zweite Gruppe ihre Freundin einfach bei diesen Creep zurück lassen. Danach hab ich mir gewünscht das sie von Stuntman Mike niedergefahren werden. So was jämmerliches und grausames nennt sich Freunde? Nein danke!\n"", ""Ich kann verstehen wie dieser Film als Kult funktioniert, nur klappt das bei mir so gar nicht. ""]";2019-01-07 10:08:00;
tt1845773;movie;Ai Weiwei: Never Sorry;Ai Weiwei: Never Sorry;Ai Weiwei: Never Sorry;2012;\N;91;Documentary;7.5;8.0;"[""Ai Weiwei ist ein besonderer Künstler. Jemanden, dem es viel mehr um die Aussage als die Ästhetik dahinter geht. Und das macht er Meisterhaft und dies wird auch fantastisch in dieser Dokumentation gezeigt.\n"", ""Ich bin ein großer Fan davon das die Doku seine Vergangenheit, seine Kunst und sein aktuelles Leben so wunderbar verwebt und darstellt. Es zeigt wie besonders er ist, wie jede Aktion die er macht als Kunstprojekt wirken kann, mit tiefe und aussagekraft, die sich jedem der den Kontext ein bisschen kennt, sofort erschließen sollte. Wenn er eine Abrissparty macht, nachdem die Chinesische Regierung für drei Jahre lang sein neue Werkstatt bauen lassen hat, ist es wie ein herrlicher mittelfinger gegen die Obrigkeit.\n"", ""Der Grund warum ich diese Doku auch so hoch bewerte liegt tatsächlich an Ai Weiwei himself. Rein Filmisch ist es nichts besonderes, aber er und sein schaffen und tun sind einfach so faszinierend. ""]";2019-01-07 10:12:00;
tt1853728;movie;Django Unchained;Django Unchained;Django Unchained;2012;\N;165;Drama,Western;8.5;7.0;"[""Django Unchained war der erste Film, bei dem der scheinbar unbremsbarer Hype Tarantinos Filme bei mir langsam zu stehen kam. Als ich den Film zum ersten mal gesehen habe, hat er mir gefallen. Natürlich hat er mir gefallen, es ist Tarantino und es ist voller Tarantino Dinge. Doch mit der Zeit brökelte diese Fassade. Ich hinterfragte mich ob der Film wirklich so gut war wie ich gedacht habe. Gab es dort nicht viele sonderbare Entscheidungen und Momente die sich unnötig in die länge ziehen? War Django wirklich so cool wie ich es mir gedacht hab, oder lag es an Tarantinos Zauber, das er so rüber kommt, obwohl es eher ein wenig hohl wirkt.\n"", ""Das war einer der Hauptgründe warum ich diesen Film wieder sehen wollte. Und ich war zu beginn sehr froh, das der Aspekt, an den ich mich am liebsten an den Film erinnerte, immer noch intakt ist und nach wie vor genial dargestellt ist: Dr King Schulz. Klar kommt es nicht ganz an die genialität Hans Landas heran, aber das macht nichts aus. Er ist so clever, so menschlich, so interessant und integer. Er treibt die Geschichte herrlich voran und es macht einfach Spaß ihm zuzusehen und den jungen Django unter seine Flügel zu nehmen.\n"", ""Der Film verliert ein bisschen an Luft wenn er sich zu sehr auf Broomhilda fokusiert, was er aber an Spaß einbüst macht er durch spannung wieder wet. Candie ist brilliant von Leonardo di Caprio dargestellt und Stephen ist eine der interessantesten Rollen die Samuel Jackson je angenommen hat. Einfach mal weg von seinem Standart um zu zeigen was er so drauf hat.\n"", ""Leider fällt das gesamte Gerüst zusammen, sobald Schulz stirbt. Jamie Foxx kann den Film nicht wirklich alleine tragen, auch wenn er es versucht. Die coolness wird hochgedreht zum leiden all anderer Aspekte. Und Tarantino als Australier ist einfach nur grauenhaft... danach hat niemand gefragt.\n"", ""Overall ist es aber doch nicht so schlimm wie ich es geahnt hatte. Ein Unterhaltsamer Film, mit ein paar herausragenden Rollen, aber nicht mehr. ""]";2019-01-07 11:31:00;
tt0408306;movie;München;Munich;Munich;2005;\N;164;Action,Drama,History;7.5;6.0;"[""München ist ein Film, der viele interessante Sachen macht, oftmals in einer faszinierenden Grauzone umher wandert, mich aber dann doch über seine Laufzeit und gegen Ende ein wenig verloren hat.\n"", ""Für mich ist Steven Spielberg oftmals Hit and Miss. Seine absoluten Klassiker sind zurecht Klassiker. Sie sind gut gemacht und erzählen interessante Geschichten auf manchmal auch sehr innovativer Art und Weise. Aber dann gibt es auch Ready Player One, Warhorse, oder um es ganz schlimm zu machen, AI, welche ich kaum anschauen kann. Das macht Spielberg Filme für mich immer ein wenig wie Russisch Roulette, werd ich die nächsten 2-3 Stunden genießen oder kann ich es als Zeitverschwendung abschlagen.\n"", ""München ist zum Teil irgendwie beides. Sonderbar in viel zu schnellen Schritten werden die Titelgebende Geschehnisse abgearbeitet. Es ist schwer dem ganzen zu folgen, vor allem wenn man nicht weiß was sich damals wirklich zugetragen hat. Auch ist der Charakter von Avner am Anfang ein wenig undruchsichtig. Es ist nicht wirklich Klar warum er das macht was er macht. Und dazu noch was er da eigentlich macht. Man hat das Gefühl man hätte sich zumindest via Wikipedia ein wenig davor einlesen sollen, sonst steht man immer öfters in der erste Stunde auf verlorenen Posten. Sobald man mal das Konzept und den Auftrag verstanden hat, läuft der Film viel runder. Die von Mossad bezahlte Terrorzelle führt als Racheakt ohne großes hinterfragen Assassinationen an den vermeindlichen Männern hinter dem Terror Anschlags durch. Und diese sind fantastisch gefilmt. Meist ohne Musik mit wirklich herrausragenden Sounddesign, sind diese Szenen das eindeutige Highlight des Filmes. Die Planungsszenen dazwischen sind auch gut gelungen und der ganze Film nimmt gegen Ende mächtig an fahrt an, wenn das Team selbst zum Ziel von anderen Assassinen werden.\n"", ""Die Schauspieler machen dabei einen Spielberg gewohnten guten Job. Die Kamera ist gut eingesetzt und der Williams Score lenkt nicht zu sehr von dem großen und ganzen ab. Handwerklich ist der Film gut bis herrausragend (wie die eben beschriebenen Assassin Szenen). Einzig auf der narrativen Ebene schwankt der Film mir ein bisschen zu sehr. Der Anfang ist zu konfus, die mitte geradlinig aber irgendwie fragt man sich, warum niemand, was sie da machen richtig hinterfragt. Die Fraktionen sind verstreut und ohne historisches Wissen kann man da auch manchmal den Überblick verlieren. Und gegen Ende, wenn Avner endlich von seinen Gräultaten eingeholt wird und der Paranoia verfällt, werden ein paar filmisch sehr fragwürdige Entscheidungen getroffen. Wie den Sex mit seiner Frau in juxtaposition zu den Attentat in München zu setzten. Es wirkt sonderbar und off wenn er zum Klimax kommt während die Sportler per Handgrate auf dem Flugfeld zerfetzt werden. Ich kann mir denken was Spielberg damit sagen wollte, aber irgendwie hat er sich dabei doch überschätzt. Diese sonderbaren Entscheidungen und die übermäßige Länge, haben dem Film dann, in meinen Augen, noch ein bisschen Punkte kosten lassen.\n"", ""Kann man sich auf jeden Fall mal ansehen, die Inszenierung ist zum Teil auch wirklich brilliant gemacht, aber ich glaube einmal im Leben reicht es. ""]";2019-01-08 15:38:00;
tt1692486;movie;Der Gott des Gemetzels;Carnage;Carnage;2011;\N;80;Comedy,Drama;7.1;7.0;"[""Ich liebe Kammerspiele. Wenn sie gut sind. Die Drehbuchautoren können zeigen was sie drauf haben, die Schauspieler können sich richtig ins Zeug legen und die Filmemacher, wenn sie nicht gerade faul sind, können mit der limitation zur kreativen höchstleistungen auflaufen.\n"", ""Der Gott des Gemetzles fängt stark an. Der erste Shot ist schon super gelungen und als wir dann in das Haus der Longstreets gehen und jeder versuch zu gehen, scheitert, schunkeln sich vergrabene Gefühle nach oben und explodieren regelmäßig wie ein viel zu lange ruhender Vulkan. Das Drehbuch ist super, alle Charaktere sind gut gezeichnet und werden auf wirklich sehr feinfühliger und brachialer Art und Weise von ihren Schauspielern verkörpert. Das Spiel der verschiedenen Teams und deren Dynamik schaukelt sich ständig hin und her, so wie es in einem guten Kammerspiel sein sollte. Polanski hat schon zuvor mit Rosmaries Baby gezeigt, das er mit wenig und stillen Tönen extrem effektiv umgehen kann.\n"", ""Aber leider ist der Film nicht ganz so perfekt wie ich es mir erhofft habe. Vor allem im späteren Verlauf, Schaukelt das Schiff ein bisschen zu hart und manchmal verliert man den Zugang zu der Situation und oder den Charakteren. Da hätte ein bisschen mehr Dialog und ein wenig mehr Zeit dem Film gut getan. Aber die einzige auswirkung ist, das Gott des Gemetzles ""nur"" ein sehr gutes Kammerspiel ist. Um zu den besten zu zählen fehlt leider noch etwas.""]";2019-01-08 22:42:00;
tt0190590;movie;O Brother, Where Art Thou? - Eine Mississippi-Odyssee;O Brother, Where Art Thou?;O Brother, Where Art Thou?;2000;\N;107;Adventure,Comedy,Crime;7.7;7.0;"[""Homers Odyssee mal etwas anders. O Brother Where Art Thou ist ein frischer, unterhaltsamer Film, der vor interessanten Ideen, Bildern und Charakteren nur so strotzt. Die Ästhetik ist so gut, das man sich wirklich in die Welt hineingezogen fühlt. Und all das ist sehr sehr gut, für einen Film dessen Mantra ""Der Weg ist das Ziel"" zu sein scheint.\n"", ""Vor allem die Musik ist fantastisch in diesen Film und es ist auch kein wunder das der Soundtrack so sehr gefeiert wird. Es passt in die Welt, in die Zeit und ist dabei poignant. Der Humor der Coen Brothers spielt hier auch alle stärken aus.\n"", ""Aber leider hat der Film auch ein paar schwächen. Alles wirkt sehr Episodenhaft. Der Zusammenhang zwischen den Szenen und der Charakterentwicklung gerät dabei in den Hintergrund. Man könnte locker verschiedene Arcs austauschen, ohne das dabei viel verloren geht.\n"", ""Dies lässt den Film leider nicht ganz so Rund wirken wie er vielleicht sein könnte. Aber durch herausragende Schauspieler, der klasse Ästhetik und der preisgekrönten Musik ist es doch ein Film den man mal gesehen haben sollte.""]";2019-01-17 16:19:00;
